SKU,NAMA,KATEGORI
PP0003913,"BALL VALVE 3 WAY T PORT DRAT SS 1/4"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003914,"BALL VALVE 3 WAY T PORT DRAT SS 3/8"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003915,"BALL VALVE 3 WAY T PORT DRAT SS 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003916,"BALL VALVE 3 WAY T PORT DRAT SS 3/4"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003917,"BALL VALVE 3 WAY T PORT DRAT SS 1"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003918,"BALL VALVE 3 WAY T PORT DRAT SS 1 1/4"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003919,"BALL VALVE 3 WAY T PORT DRAT SS 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003920,"BALL VALVE 3 WAY T PORT DRAT SS 2"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003921,"BALL VALVE 3 WAY T PORT DRAT SS 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003922,"BALL VALVE 3 WAY T PORT DRAT SS 3"" + ELECTRIC ACTUATOR MODULAR",BALL DRAT ELECTRIC ACTUATOR
PP0003923,"BUTTERFLY VALVE CI EPDM 1 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003924,"BUTTERFLY VALVE CI EPDM 2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003925,"BUTTERFLY VALVE CI EPDM 2 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003926,"BUTTERFLY VALVE CI EPDM 3"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003927,"BUTTERFLY VALVE CI EPDM 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003928,"BUTTERFLY VALVE CI EPDM 5"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003929,"BUTTERFLY VALVE CI EPDM 6"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003930,"BUTTERFLY VALVE CI EPDM 8"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003931,"BUTTERFLY VALVE CI EPDM 10"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003932,"BUTTERFLY VALVE CI EPDM 12"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003933,"BUTTERFLY VALVE CI EPDM 14"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003934,"BUTTERFLY VALVE CI EPDM 16"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003935,"BUTTERFLY VALVE CI EPDM 18"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003936,"BUTTERFLY VALVE CI EPDM 20"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003937,"BUTTERFLY VALVE CI EPDM 24"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003938,"BUTTERFLY VALVE CI EPDM 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003939,"BUTTERFLY VALVE CI EPDM 2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003940,"BUTTERFLY VALVE CI EPDM 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003941,"BUTTERFLY VALVE CI EPDM 3"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003942,"BUTTERFLY VALVE CI EPDM 4"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003943,"BUTTERFLY VALVE CI EPDM 5"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003944,"BUTTERFLY VALVE CI EPDM 6"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003945,"BUTTERFLY VALVE CI EPDM 8"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003946,"BUTTERFLY VALVE CI EPDM 10"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003947,"BUTTERFLY VALVE CI EPDM 12"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003948,"BUTTERFLY VALVE CI EPDM 14"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003949,"BUTTERFLY VALVE CI EPDM 16"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003950,"BUTTERFLY VALVE CI EPDM 18"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003951,"BUTTERFLY VALVE CI EPDM 20"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003952,"BUTTERFLY VALVE CI EPDM 24"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003953,"BUTTERFLY VALVE CI PTFE 1 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003954,"BUTTERFLY VALVE CI PTFE 2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003955,"BUTTERFLY VALVE CI PTFE 2 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003956,"BUTTERFLY VALVE CI PTFE 3"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003957,"BUTTERFLY VALVE CI PTFE 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003958,"BUTTERFLY VALVE CI PTFE 5"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003959,"BUTTERFLY VALVE CI PTFE 6"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003960,"BUTTERFLY VALVE CI PTFE 8"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003961,"BUTTERFLY VALVE CI PTFE 10"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003962,"BUTTERFLY VALVE CI PTFE 12"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003963,"BUTTERFLY VALVE CI PTFE 14"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003964,"BUTTERFLY VALVE CI PTFE 16"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003965,"BUTTERFLY VALVE CI PTFE 18"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003966,"BUTTERFLY VALVE CI PTFE 20"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003967,"BUTTERFLY VALVE CI PTFE 24"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003968,"BUTTERFLY VALVE CI PTFE 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003969,"BUTTERFLY VALVE CI PTFE 2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003970,"BUTTERFLY VALVE CI PTFE 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003971,"BUTTERFLY VALVE CI PTFE 3"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003972,"BUTTERFLY VALVE CI PTFE 4"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003973,"BUTTERFLY VALVE CI PTFE 5"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003974,"BUTTERFLY VALVE CI PTFE 6"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003975,"BUTTERFLY VALVE CI PTFE 8"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003976,"BUTTERFLY VALVE CI PTFE 10"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003977,"BUTTERFLY VALVE CI PTFE 12"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003978,"BUTTERFLY VALVE CI PTFE 14"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003979,"BUTTERFLY VALVE CI PTFE 16"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003980,"BUTTERFLY VALVE CI PTFE 18"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003981,"BUTTERFLY VALVE CI PTFE 20"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003982,"BUTTERFLY VALVE CI PTFE 24"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003983,"BUTTERFLY VALVE SS 304 1 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003984,"BUTTERFLY VALVE SS 304 2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003985,"BUTTERFLY VALVE SS 304 2 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003986,"BUTTERFLY VALVE SS 304 3"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003987,"BUTTERFLY VALVE SS 304 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003988,"BUTTERFLY VALVE SS 304 5"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003989,"BUTTERFLY VALVE SS 304 6"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003990,"BUTTERFLY VALVE SS 304 8"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003991,"BUTTERFLY VALVE SS 304 10"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003992,"BUTTERFLY VALVE SS 304 12"" + ELECTRIC ACTUATOR ON/OFF AC 220",BUTTERFLY ELECTRIC ACTUATOR
PP0003993,"BUTTERFLY VALVE SS 304 14"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003994,"BUTTERFLY VALVE SS 304 16"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003995,"BUTTERFLY VALVE SS 304 18"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003996,"BUTTERFLY VALVE SS 304 20"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003997,"BUTTERFLY VALVE SS 304 24"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0003998,"BUTTERFLY VALVE SS 304 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0003999,"BUTTERFLY VALVE SS 304 2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004000,"BUTTERFLY VALVE SS 304 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004001,"BUTTERFLY VALVE SS 304 3"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004002,"BUTTERFLY VALVE SS 304 4"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004003,"BUTTERFLY VALVE SS 304 5"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004004,"BUTTERFLY VALVE SS 304 6"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004005,"BUTTERFLY VALVE SS 304 8"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004006,"BUTTERFLY VALVE SS 304 10"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004007,"BUTTERFLY VALVE SS 304 12"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004008,"BUTTERFLY VALVE SS 304 14"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004009,"BUTTERFLY VALVE SS 304 16"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004010,"BUTTERFLY VALVE SS 304 18"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004011,"BUTTERFLY VALVE SS 304 20"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004012,"BUTTERFLY VALVE SS 304 24"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004013,"BUTTERFLY VALVE SS 316 1 1/2"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004014,"BUTTERFLY VALVE SS 316 2"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004015,"BUTTERFLY VALVE SS 316 2 1/2"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004016,"BUTTERFLY VALVE SS 316 3"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004017,"BUTTERFLY VALVE SS 316 4"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004018,"BUTTERFLY VALVE SS 316 5"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004019,"BUTTERFLY VALVE SS 316 6"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004020,"BUTTERFLY VALVE SS 316 8"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004021,"BUTTERFLY VALVE SS 316 10"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004022,"BUTTERFLY VALVE SS 316 12"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004023,"BUTTERFLY VALVE SS 316 14"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004024,"BUTTERFLY VALVE SS 316 16"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004025,"BUTTERFLY VALVE SS 316 18"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004026,"BUTTERFLY VALVE SS 316 20"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004027,"BUTTERFLY VALVE SS 316 24"" + ELECTRIC ACTUATOR ON/OFF",BUTTERFLY ELECTRIC ACTUATOR
PP0004028,"BUTTERFLY VALVE SS 316 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004029,"BUTTERFLY VALVE SS 316 2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004030,"BUTTERFLY VALVE SS 316 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004031,"BUTTERFLY VALVE SS 316 3"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004032,"BUTTERFLY VALVE SS 316 4"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004033,"BUTTERFLY VALVE SS 316 5"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004034,"BUTTERFLY VALVE SS 316 6"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004035,"BUTTERFLY VALVE SS 316 8"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004036,"BUTTERFLY VALVE SS 316 10"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004037,"BUTTERFLY VALVE SS 316 12"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004038,"BUTTERFLY VALVE SS 316 14"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004039,"BUTTERFLY VALVE SS 316 16"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004040,"BUTTERFLY VALVE SS 316 18"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004041,"BUTTERFLY VALVE SS 316 20"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004042,"BUTTERFLY VALVE SS 316 24"" + ELECTRIC ACTUATOR MODULAR",BUTTERFLY ELECTRIC ACTUATOR
PP0004043,"BALL VALVE WCB JIS 10K 1 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004044,"BALL VALVE WCB JIS 10K 2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004045,"BALL VALVE WCB JIS 10K 2 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004046,"BALL VALVE WCB JIS 10K 3"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004047,"BALL VALVE WCB JIS 10K 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004048,"BALL VALVE WCB JIS 10K 5"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004049,"BALL VALVE WCB JIS 10K 6"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004050,"BALL VALVE CI JIS 10K 8"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004051,"BALL VALVE CI JIS 10K 10"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004052,"BALL VALVE CI JIS 10K 12"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004053,"BALL VALVE CI JIS 10K 14"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004054,"BALL VALVE CI JIS 10K 16"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004055,"BALL VALVE CI JIS 10K 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004056,"BALL VALVE CI JIS 10K 2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004057,"BALL VALVE CI JIS 10K 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004058,"BALL VALVE CI JIS 10K 3"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004059,"BALL VALVE CI JIS 10K 4"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004060,"BALL VALVE CI JIS 10K 5"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004061,"BALL VALVE CI JIS 10K 6"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004062,"BALL VALVE CI JIS 10K 8"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004063,"BALL VALVE CI JIS 10K 10"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004064,"BALL VALVE CI JIS 10K 12"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004065,"BALL VALVE CI JIS 10K 14"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004066,"BALL VALVE CI JIS 10K 16"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004067,"BALL VALVE WCB ANSI 150 1 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004068,"BALL VALVE WCB ANSI 150  2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004069,"BALL VALVE WCB ANSI 150 2 1/2"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004070,"BALL VALVE WCB ANSI 150 3"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004071,"BALL VALVE WCB ANSI 150 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004072,"BALL VALVE WCB ANSI 150 5"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004073,"BALL VALVE WCB ANSI 150 6"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004074,"BALL VALVE CI ANSI 150 8"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004075,"BALL VALVE CI ANSI 150 10"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004076,"BALL VALVE CI ANSI 150 12"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004077,"BALL VALVE CI ANSI 150 14"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004078,"BALL VALVE CI ANSI 150 16"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004079,"BALL VALVE CI ANSI 150 1 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004080,"BALL VALVE CI ANSI 150 2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004081,"BALL VALVE CI ANSI 150 2 1/2"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004082,"BALL VALVE CI ANSI 150 3"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004083,"BALL VALVE CI ANSI 150 4"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004084,"BALL VALVE CI ANSI 150 5"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004085,"BALL VALVE CI ANSI 150 6"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004086,"BALL VALVE CI ANSI 150 8"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004087,"BALL VALVE CI ANSI 150 10"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004088,"BALL VALVE CI ANSI 150 12"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004089,"BALL VALVE CI ANSI 150 14"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004090,"BALL VALVE CI ANSI 150 16"" + ELECTRIC ACTUATOR MODULAR",BALL FLANGE ELECTRIC ACTUATOR
PP0004091,"BALL VALVE CI PN 16 1 1/2"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004092,"BALL VALVE CI PN 16 2"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004093,"BALL VALVE CI PN 16 2 1/2"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004094,"BALL VALVE CI PN 16 3"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004095,"BALL VALVE CI PN 16 4"" + ELECTRIC ACTUATOR ON/OFF AC 220",BALL FLANGE ELECTRIC ACTUATOR
PP0004096,"BALL VALVE CI PN 16 5"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004097,"BALL VALVE CI PN 16 6"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004098,"BALL VALVE CI PN 16 8"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004099,"BALL VALVE CI PN 16 10"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004100,"BALL VALVE CI PN 16 12"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
PP0004101,"BALL VALVE CI PN 16 14"" + ELECTRIC ACTUATOR ON/OFF",BALL FLANGE ELECTRIC ACTUATOR
